"","college_name","aid"
"824","The Master's College and Seminary",15387
"825","The New School for Jazz and Contemporary Music",15241
"826","The New School for Public Engagement",5453
"827","The Ohio State University",4699
"828","The Robert B. Miller College",2082
"829","The University of Akron",14835
"830","The University of Alabama",18173
"831","The University of Alabama at Birmingham",12021
"832","The University of Arizona",12312
"833","The University of British Columbia",8889
"834","The University of Iowa",5080
"835","The University of Kansas",17324
"836","The University of Montana",3941
"837","The University of North Carolina at Greensboro",15143
"838","The University of North Carolina at Pembroke",14684
"839","The University of North Carolina Wilmington",1407
"840","The University of Scranton",48018
"841","The University of Tampa",4116
"842","The University of Tennessee",7649
"843","The University of Tennessee at Chattanooga",1770
"844","The University of Texas at Arlington",4627
"845","The University of Texas at Austin",5937
"846","The University of Texas at Brownsville",6570
"847","The University of Texas at Dallas",9559
"848","The University of Texas at El Paso",7346
"849","The University of Texas at San Antonio",1317
"850","The University of Texas at Tyler",2150
"851","The University of Texas Health Science Center at Houston",20684
"852","The University of Texas of the Permian Basin",3145
"853","The University of Texas-Pan American",3411
"854","The University of Toledo",11243
"855","The University of Tulsa",9871
"856","The University of West Alabama",2974
"857","The University of Western Ontario",1958
"858","Thomas Aquinas College",18240
"859","Thomas College",8704
"860","Thomas More College",23273
"861","Thomas More College of Liberal Arts",11675
"862","Tiffin University",7073
"863","Toccoa Falls College",7402
"864","Touro College",4151
"865","Towson University",7909
"866","Transylvania University",15772
"867","Trevecca Nazarene University",15591
"868","Trine University",10226
"869","Trinity Christian College",14290
"870","Trinity College",54788
"871","Trinity College of Florida",2750
"872","Trinity International University",15440
"873","Trinity University",20801
"874","Truett-McConnell College",15435
"875","Truman State University",4899
"876","Tufts University",49579
"877","Tulane University",19965
"878","Tusculum College",14443
"879","Union College",59688
"880","Union University",19001
"881","University at Buffalo, the State University of New York",7600
"882","University de Moncton",1226
"883","University of Alaska Anchorage",17842
"884","University of Alaska Fairbanks",14090
"885","University of Arkansas",7234
"886","University of California, Davis",23114
"887","University of California, Irvine",26718
"888","University of California, Los Angeles",3601
"889","University of California, Merced",32126
"890","University of California, Riverside",8937
"891","University of California, San Diego",33715
"892","University of California, Santa Barbara",33164
"893","University of California, Santa Cruz",4332
"894","University of Central Florida",1660
"895","University of Central Missouri",1811
"896","University of Central Oklahoma",3383
"897","University of Cincinnati",8324
"898","University of Colorado Boulder",15438
"899","University of Dallas",9353
"900","University of Dayton",10591
"901","University of Denver",19226
"902","University of Dubuque",10000
"903","University of Evansville",19343
"904","University of Georgia",23194
"905","University of Great Falls",18471
"906","University of Hartford",19851
"907","University of Hawaii at Hilo",820
"908","University of Hawaii at Manoa",26841
"909","University of Houston",1933
"910","University of Houston-Clear Lake",1476
"911","University of Houston-Downtown",2781
"912","University of Houston-Victoria",2479
"913","University of Idaho",5000
"914","University of Illinois at Chicago",5333
"915","University of Illinois at Springfield",4418
"916","University of Illinois at Urbana-Champaign",13371
"917","University of Indianapolis",14908
"918","University of Jamestown",9392
"919","University of Kentucky",8990
"920","University of La Verne",9134
"921","University of Louisiana at Lafayette",9025
"922","University of Maine",5269
"923","University of Maine at Augusta",15325
"924","University of Maine at Farmington",3925
"925","University of Maine at Fort Kent",8782
"926","University of Maine at Machias",7024
"927","University of Maine at Presque Isle",2257
"928","University of Manitoba",2000
"929","University of Mary Hardin-Baylor",1620
"930","University of Maryland, Baltimore County",7573
"931","University of Massachusetts Lowell",5014
"932","University of Memphis",18405
"933","University of Miami",28775
"934","University of Michigan-Dearborn",10210
"935","University of Michigan-Flint",3871
"936","University of Minnesota, Crookston",1500
"937","University of Minnesota, Duluth",9132
"938","University of Minnesota, Morris",1500
"939","University of Minnesota, Twin Cities Campus",3316
"940","University of Mississippi",12656
"941","University of Missouri-St. Louis",9535
"942","University of Mobile",19904
"943","University of Montevallo",20447
"944","University of Mount Olive",10313
"945","University of Nebraska at Kearney",4335
