"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"800","South Dakota School of Mines and Technology","24","29","1120","1350"
"801","South Dakota State University","20","26","970","1230"
"802","Southeast Missouri State University","20","25","960","1200"
"803","Southeastern University","18","24","920","1160"
"804","Southern Arkansas University Main Campus","18","24","910","1150"
"805","Southern Connecticut State University","18","23","910","1110"
"806","Southern Illinois University Carbondale","19","25","960","1200"
"807","Southern Illinois University Edwardsville","20","26","980","1130"
"808","Southern Methodist University","28","32","1290","1460"
"809","Southern Oregon University","19","25","980","1200"
"810","Southern Polytechnic State University","22","26","1110","1300"
"811","Southern University and A & M College","20","27","930","1160"
"812","Southern Utah University","20","26","970","1220"
"813","Southern Vermont College","14","21","860","1070"
"814","Southern Virginia University","16","26","1010","1210"
"815","Southwest Baptist University","19","25","940","1170"
"816","Southwest Minnesota State University","18","23","850","1150"
"817","Southwestern Adventist University","17","23","900","1090"
"818","Southwestern Assemblies of God University","19","25","880","1110"
"819","Southwestern Christian University","17","21","790","1100"
"820","Southwestern College","18","23","900","1100"
"821","Southwestern University","23","28","1130","1340"
"822","Spalding University","18","23","960","1180"
"823","Spartanburg Methodist College","16","20","850","1030"
"824","Spelman College","22","26","1060","1240"
"825","Spring Arbor University","19","25","920","1260"
"826","Spring Hill College","22","27","1080","1260"
"827","Springfield College","24","28","980","1190"
"828","St Catherine University","19","25","1060","1250"
"829","St John's College","27","33","1250","1480"
"830","St John's University New York","22","28","1050","1250"
"831","St Louis College of Pharmacy","24","28","1190","1320"
"832","St Mary's College of Maryland","23","29","1080","1310"
"833","St Olaf College","26","31","1190","1450"
"834","St. Andrews University","16","21","950","1050"
"835","St. Francis College","18","24","910","1110"
"836","St. Mary's University","19","25","1030","1200"
"837","Stanford University","31","35","1430","1590"
"838","State University of New York at New Paltz","23","27","1090","1270"
"839","Stephen F Austin State University","19","24","950","1160"
"840","Stephens College","20","25","980","1260"
"841","Sterling College","18","23","960","1110"
"842","Stevens Institute of Technology","29","33","1320","1480"
"843","Stevenson University","19","25","990","1200"
"844","Stillman College","14","17","830","990"
"845","Stony Brook University","26","31","1220","1420"
"846","Suffolk University","20","25","990","1190"
"847","Sul Ross State University","16","20","820","1030"
"848","SUNY at Albany","22","26","1070","1240"
"849","SUNY at Binghamton","28","31","1300","1450"
"850","SUNY at Fredonia","22","27","980","1190"
"851","SUNY at Geneseo","25","29","1160","1360"
"852","SUNY at Purchase College","20","27","1050","1250"
"853","SUNY College at Brockport","20","25","1000","1190"
"854","SUNY College at Buffalo","17","22","860","1060"
"855","SUNY College at Cortland","22","25","1070","1210"
"856","SUNY College at Old Westbury","19","24","960","1130"
"857","SUNY College at Oneonta","22","26","1060","1230"
"858","SUNY College at Oswego","22","27","1090","1250"
"859","SUNY College at Plattsburgh","21","25","1070","1280"
"860","SUNY College of Agriculture and Technology at Cobleskill","20","24","990","1170"
"861","SUNY College of Environmental Science and Forestry","23","27","1140","1320"
"862","SUNY College of Technology at Alfred","19","24","910","1130"
"863","SUNY College of Technology at Canton","17","22","880","1110"
"864","SUNY Institute of Technology at Utica Rome","24","29","1070","1390"
"865","SUNY Maritime College","23","27","1110","1280"
"866","Swarthmore College","30","34","1360","1550"
"867","Sweet Briar College","18","27","960","1250"
"868","Syracuse University","25","29","1160","1350"
"869","Tabor College","18","24","910","1090"
"870","Tarleton State University","18","23","930","1130"
"871","Taylor University","22","29","1030","1310"
"872","Tennessee Technological University","21","27","1040","1260"
"873","Tennessee Wesleyan College","19","25","930","1140"
"874","Texas A & M International University","16","21","900","1100"
"875","Texas A & M University College Station","24","30","1140","1370"
"876","Texas A & M University Commerce","18","23","950","1150"
"877","Texas A & M University Corpus Christi","17","23","930","1130"
"878","Texas A & M University Galveston","22","26","1100","1270"
"879","Texas A & M University Kingsville","17","23","930","1130"
"880","Texas A & M University Texarkana","20","22","1060","1210"
"881","Texas Christian University","25","30","1140","1340"
"882","Texas Lutheran University","18","23","960","1140"
"883","Texas Southern University","15","19","810","980"
"884","Texas State University","20","25","1010","1190"
"885","Texas Tech University","22","27","1100","1270"
"886","Texas Wesleyan University","19","23","1000","1140"
"887","Texas Woman's University","17","23","910","1130"
"888","The Baptist College of Florida","17","22","910","950"
"889","The Christ College of Nursing and Health Sciences","20","23","1030","1080"
"890","The College of New Jersey","25","30","1170","1360"
"891","The College of New Rochelle","19","23","920","1100"
"892","The College of Saint Scholastica","21","26","970","1190"
"893","The College of Wooster","24","30","1140","1410"
"894","The Evergreen State College","20","26","1000","1250"
"895","The King?s College","24","28","1150","1330"
"896","The Master's College and Seminary","21","28","1030","1280"
"897","The New School","23","28","1110","1340"
"898","The Richard Stockton College of New Jersey","19","24","1040","1230"
"899","The University of Alabama","23","31","1060","1300"
"900","The University of Findlay","20","25","1020","1120"
"901","The University of Montana","20","26","1030","1270"
