"","college_name","combined_rank","national_rank","liberal_rank","students","aid","link","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"180","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","21","26","1020","1230"
"181","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","21","26","1080","1280"
"182","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","21","26","930","1250"
"183","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","20","26","1020","1230"
"184","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","20","26","1080","1280"
"185","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","20","26","930","1250"
"186","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","22","27","1020","1230"
"187","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","22","27","1080","1280"
"188","Westminster College",128,NA,128,NA,38298,"/best-colleges/westminster-college-pennsylvania-3392","22","27","930","1250"
"189","Whittier College",128,NA,128,NA,25062,"/best-colleges/whittier-college-1342","20","26","1000","1200"
"190","Hofstra University",132,132,NA,NA,24000,"/best-colleges/hofstra-university-2732","24","29","1140","1320"
"191","Mercer University",133,133,NA,NA,23472,"/best-colleges/mercer-university-1580","25","29","1170","1350"
"192","University of Arkansas",133,133,NA,NA,7234,"/best-colleges/university-of-arkansas-1108","23","29","1090","1290"
"193","University of Cincinnati",133,133,NA,NA,8324,"/best-colleges/university-of-cincinnati-3125",NA,NA,NA,NA
"194","University of Kentucky",133,133,NA,NA,8990,"/best-colleges/university-of-kentucky-1989","22","29","1080","1310"
"195","McDaniel College",134,NA,134,NA,32707,"/best-colleges/mcdaniel-college-2109","21","28","1060","1280"
"196","Siena College",134,NA,134,NA,25000,"/best-colleges/siena-college-2816",NA,NA,NA,NA
"197","St. Norbert College",134,NA,134,NA,19897,"/best-colleges/st-norbert-college-3892",NA,NA,NA,NA
"198","Sweet Briar College",134,NA,134,NA,18377,"/best-colleges/sweet-briar-college-3742","18","27","960","1250"
"199","Illinois College",138,NA,138,NA,27792,"/best-colleges/illinois-college-1688",NA,NA,NA,NA
"200","Randolph College",138,NA,138,NA,24330,"/best-colleges/randolph-college-3734","20","26","980","1220"
"201","Roanoke College",138,NA,138,NA,26374,"/best-colleges/roanoke-college-3736","21","27","1050","1270"
"202","New Jersey Institute of Technology",140,140,NA,NA,25672,"/best-colleges/njit-2621","23","29","1180","1370"
"203","San Diego State University",140,140,NA,NA,12,"/best-colleges/sdsu-1151","23","28","1080","1290"
"204","University of South Florida",140,140,NA,NA,9225,"/best-colleges/usf-1537",NA,NA,NA,NA
"205","Washington State University",140,140,NA,NA,9127,"/best-colleges/washington-state-3800","20","26","1010","1230"
"206","Alma College",141,NA,141,NA,19543,"/best-colleges/alma-college-2236","21","26","960","1250"
"207","Hiram College",141,NA,141,NA,8623,"/best-colleges/hiram-college-3049","19","25","940","1120"
"208","Susquehanna University",141,NA,141,NA,17965,"/best-colleges/susquehanna-university-3369",NA,NA,NA,NA
"209","Wesleyan College",141,NA,141,NA,11731,"/best-colleges/wesleyan-college-1600","19","26","1010","1190"
"210","Oregon State University",145,145,NA,NA,5669,"/best-colleges/oregon-state-3210","22","28","1070","1310"
"211","St. John Fisher College",145,145,NA,NA,6065,"/best-colleges/st-john-fisher-college-2821",NA,NA,NA,NA
"212","University of Mississippi",145,145,NA,NA,12656,"/best-colleges/university-of-mississippi-2440","22","29","1080","1300"
"213","Bard College at Simon's Rock",147,NA,147,NA,29853,"/best-colleges/simons-rock-9645",NA,NA,NA,NA
"214","Centenary College of Louisiana",147,NA,147,NA,30150,"/best-colleges/centenary-louisiana-2003","22","28","1020","1240"
"215","Franklin College",147,NA,147,NA,22625,"/best-colleges/franklin-college-1798","19","25","930","1150"
"216","Houghton College",147,NA,147,NA,13917,"/best-colleges/houghton-college-2734","21","28","1040","1310"
"217","Lycoming College",147,NA,147,NA,22349,"/best-colleges/lycoming-college-3293","20","25","1020","1190"
"218","Monmouth College",147,NA,147,NA,26987,"/best-colleges/monmouth-college-1725","19","26","940","1160"
"219","Saint Vincent College",147,NA,147,NA,4491,"/best-colleges/saint-vincent-college-3368","20","26","1020","1230"
"220","Simpson College",147,NA,147,NA,28315,"/best-colleges/simpson-college-1887","21","27","1000","1300"
"221","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","21","26","1020","1230"
"222","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","21","26","1080","1280"
"223","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","21","26","930","1250"
"224","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","20","26","1020","1230"
"225","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","20","26","1080","1280"
"226","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","20","26","930","1250"
"227","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","22","27","1020","1230"
"228","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","22","27","1080","1280"
"229","Westminster College",147,NA,147,NA,38298,"/best-colleges/westminster-college-missouri-2523","22","27","930","1250"
"230","William Jewell College",147,NA,147,NA,23233,"/best-colleges/william-jewell-2524","22","28","1060","1340"
"231","Adelphi University",151,151,NA,NA,15047,"/best-colleges/adelphi-university-2666","22","27","1090","1280"
"232","Florida Institute of Technology",151,151,NA,NA,15976,"/best-colleges/florida-tech-1469","24","29","1130","1320"
"233","Seattle Pacific University",151,151,NA,NA,13154,"/best-colleges/seattle-pacific-university-3788","21","27","1070","1300"
"234","Oklahoma State University",156,156,NA,NA,5289,"/best-colleges/oklahoma-state-3170",NA,NA,NA,NA
"235","Wittenberg University",158,NA,158,NA,28293,"/best-colleges/wittenberg-university-3143",NA,NA,NA,NA
"236","Biola University",159,159,NA,NA,8892,"/best-colleges/biola-university-1122","21","27","1030","1290"
"237","University of La Verne",159,159,NA,NA,9134,"/best-colleges/la-verne-1216","20","26","1010","1200"
"238","Guilford College",160,NA,160,NA,20202,"/best-colleges/guilford-college-2931",NA,NA,NA,NA
"239","Morehouse College",160,NA,160,NA,31416,"/best-colleges/morehouse-college-1582","19","24","940","1160"
"240","Warren Wilson College",160,NA,160,NA,19112,"/best-colleges/warren-wilson-2979",NA,NA,NA,NA
"241","Carthage College",163,NA,163,NA,23795,"/best-colleges/carthage-college-3839","21","27","1000","1210"
"242","Elmira College",165,NA,165,NA,25845,"/best-colleges/elmira-2718",NA,NA,NA,NA
"243","Hartwick College",165,NA,165,NA,31281,"/best-colleges/hartwick-college-2729","19","25","980","1160"
"244","Moravian College",165,NA,165,NA,16217,"/best-colleges/moravian-college-3301",NA,NA,NA,NA
"245","St. John's University",165,165,NA,NA,21401,"/best-colleges/st-johns-university-new-york-2823",NA,NA,NA,NA
"246","Covenant College",168,NA,168,NA,14368,"/best-colleges/covenant-college-3484","24","29","1130","1360"
"247","Gordon College",168,NA,168,NA,21110,"/best-colleges/gordon-college-2153","22","29","970","1280"
"248","Gordon College",168,NA,168,NA,21110,"/best-colleges/gordon-college-2153","22","29","840","1050"
"249","Gordon College",168,NA,168,NA,21110,"/best-colleges/gordon-college-2153","15","20","970","1280"
"250","Gordon College",168,NA,168,NA,21110,"/best-colleges/gordon-college-2153","15","20","840","1050"
"251","Wells College",168,NA,168,NA,18000,"/best-colleges/wells-college-2901","19","26","940","1190"
"252","University of Central Florida",171,171,NA,NA,1660,"/best-colleges/ucf-3954","24","28","1150","1330"
"253","University of Idaho",171,171,NA,NA,5000,"/best-colleges/university-of-idaho-1626","21","27","1010","1240"
"254","Virginia Commonwealth University",171,171,NA,NA,7913,"/best-colleges/vcu-3735","21","27","1060","1270"
"255","Albright College",173,NA,173,NA,14885,"/best-colleges/albright-college-3229",NA,NA,NA,NA
"256","American Jewish University",173,NA,173,NA,9000,"/best-colleges/american-jewish-university-2741",NA,NA,NA,NA
"257","Ave Maria University",173,NA,173,NA,9663,"/best-colleges/ave-maria-university-39413","21","27","1050","1300"
"258","Bethany College",173,NA,173,NA,27565,"/best-colleges/bethany-college-west-virginia-3808","18","23","930","1100"
"259","Bethany College",173,NA,173,NA,27565,"/best-colleges/bethany-college-west-virginia-3808","18","23","850","1080"
"260","Bethany College",173,NA,173,NA,27565,"/best-colleges/bethany-college-west-virginia-3808","17","23","930","1100"
